video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR,motion_model
MVI_63562,0.5956535398080048,0.5433313643905223,0.6564292063239556,0.6302395209580839,0.7949402201416997,553,1884,33,6680,0.7784520741541275,0.8753037951018882,0.7008982035928144,KF + CV (baseline)
MVI_63563,0.5864622683660062,0.5160258030911977,0.6703259548537501,0.6004809703053116,0.7982860590404934,615,3157,49,9564,0.7552152417701676,0.891911136428368,0.6548515265579256,KF + CV (baseline)
MVI_20011,0.530761305650068,0.5065753432724889,0.5571104847877115,0.6016982364467668,0.8113229897484922,268,2767,14,7655,0.7384279135118258,0.917377812257564,0.6178967994774657,EKF + CTRV
MVI_20012,0.5569447571859513,0.5519304588471068,0.5629817328223811,0.6523001858736059,0.798299826066037,864,2095,34,8608,0.752580544260244,0.8153721024806833,0.6987685873605948,EKF + CTRV
MVI_20032,0.5770688607933246,0.5218661525802025,0.6385782209097175,0.5757392878696439,0.7808091354218807,328,375,0,1657,0.7848178757269666,0.7962732919254658,0.7736873868436934,EKF + CTRV
MVI_20033,0.592181070281919,0.5626235590456815,0.6240247813487731,0.6585134622677284,0.8143892542858588,409,1386,6,5274,0.8066032807439139,0.8983011403304632,0.7318923018581721,EKF + CTRV
MVI_20034,0.5632787663225303,0.5701414860802467,0.5570619900160692,0.6378095429836924,0.8427089984104716,657,2902,39,9934,0.7192872950122,0.8242944466120432,0.6380108717535736,EKF + CTRV
MVI_20035,0.6769929809054491,0.6523245286058138,0.7028821489410942,0.7385913116828342,0.8461011544151009,1428,1655,16,11855,0.8619852659370608,0.8703990368077056,0.85373260227752,EKF + CTRV
MVI_20051,0.6563678292574672,0.6413797684267181,0.6720760712890248,0.7194985448847101,0.8585400899117471,914,1568,24,8934,0.8165446729406297,0.8487922705314009,0.7866577121110365,EKF + CTRV
MVI_20052,0.6876478985028417,0.6592597912529886,0.7179664971837082,0.7439885153726522,0.8480225720758895,922,1172,46,8359,0.8450327908671362,0.8580589468491799,0.8323962196434981,EKF + CTRV
MVI_20061,0.5566795290646086,0.5422407880325699,0.5723921533017818,0.6226231633535004,0.8378982733623122,552,2897,44,9256,0.6989546607286448,0.8175372594414702,0.6104148660328436,EKF + CTRV
MVI_20062,0.5880652368689576,0.5150157264763342,0.6723101559268492,0.4045271178843568,0.8462420350806148,2079,551,27,4462,0.7074244163796403,0.617195325542571,0.8285522187359928,EKF + CTRV
