video,track_id,event_id,start_frame,end_frame,length_frames,has_full,outcome__cv,id_before__cv,id_after__cv,id_continuous__cv,recall_during__cv,outcome__ekf_ctrv,id_before__ekf_ctrv,id_after__ekf_ctrv,id_continuous__ekf_ctrv,recall_during__ekf_ctrv,outcome__ukf_ctrv,id_before__ukf_ctrv,id_after__ukf_ctrv,id_continuous__ukf_ctrv,recall_during__ukf_ctrv,split,part,source,curv,path_len,net_disp,max_occ,mean_occ,full_len,full_start,full_end,occluder,code,n_preserved,differ
MVI_20011,10,0,47,107,61,False,switched,16.0,95.0,False,0.082,switched,15.0,96.0,False,0.082,switched,15.0,96.0,False,0.082,DETRAC-all,train,train,0.04406829125930245,71.55,68.53,0.4641,0.3313,0,-1,-1,vehicle,SSS,0,False
MVI_20011,13,1,197,209,13,False,lost_after,67.0,,False,0.0,lost_after,68.0,,False,0.0,lost_after,68.0,,False,0.0,DETRAC-all,train,train,0.019323671497584627,12.66,12.42,0.2158,0.1607,0,-1,-1,background,LLL,0,False
MVI_20011,21,0,227,302,76,False,preserved,151.0,151.0,True,1.0,preserved,152.0,152.0,True,1.0,preserved,152.0,152.0,True,1.0,DETRAC-all,train,train,0.006701073836677063,241.87,240.26,0.3427,0.2312,0,-1,-1,vehicle,PPP,3,False
MVI_20011,29,0,511,541,31,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,0.25806451612903225,11.31,8.99,0.425,0.2973,0,-1,-1,vehicle,NNN,0,False
MVI_20011,35,1,488,495,8,False,preserved,263.0,263.0,True,1.0,preserved,263.0,263.0,True,1.0,preserved,262.0,262.0,True,1.0,DETRAC-all,train,train,0.04330708661417315,7.95,7.62,0.1271,0.1155,0,-1,-1,vehicle,PPP,3,False
MVI_20011,37,1,453,571,119,False,lost_after,240.0,,False,0.1513,lost_after,240.0,,False,0.1513,lost_after,240.0,,False,0.1513,DETRAC-all,train,train,0.1396016674386289,123.02,107.95,0.867,0.4413,0,-1,-1,both,LLL,0,False
MVI_20011,40,1,538,575,38,True,lost_after,256.0,,False,0.0,lost_after,256.0,,False,0.0,lost_after,255.0,,False,0.0,DETRAC-all,train,train,0.1250387837418554,36.26,32.23,1.0,0.6492,24,548,571,background,LLL,0,False
MVI_20011,43,1,548,553,6,False,preserved,280.0,280.0,True,1.0,preserved,280.0,280.0,True,1.0,preserved,279.0,279.0,True,1.0,DETRAC-all,train,train,0.0,7.84,7.84,0.2525,0.1782,0,-1,-1,background,PPP,3,False
MVI_20011,43,2,560,571,12,False,lost_after,280.0,,False,0.0,lost_after,280.0,,False,0.0,lost_after,279.0,,False,0.0,DETRAC-all,train,train,0.11088082901554408,10.72,9.65,0.3503,0.247,0,-1,-1,background,LLL,0,False
MVI_20011,43,3,593,599,7,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,0.03275862068965529,5.99,5.8,0.3732,0.2272,0,-1,-1,background,NNN,0,False
MVI_20011,47,0,570,638,69,False,no_match_before,,,False,0.0725,no_match_before,,,False,0.0725,no_match_before,,,False,0.0725,DETRAC-all,train,train,0.520162932790224,37.32,24.55,0.6353,0.4427,0,-1,-1,vehicle,NNN,0,False
MVI_20011,47,1,645,652,8,False,preserved,372.0,372.0,True,1.0,preserved,377.0,377.0,True,1.0,preserved,370.0,370.0,True,1.0,DETRAC-all,train,train,,3.64,0.8,0.1563,0.1299,0,-1,-1,vehicle,PPP,3,False
MVI_20011,47,2,658,662,5,False,preserved,372.0,372.0,True,1.0,preserved,377.0,377.0,True,1.0,preserved,370.0,370.0,True,1.0,DETRAC-all,train,train,,2.64,2.15,0.1563,0.1314,0,-1,-1,vehicle,PPP,3,False
MVI_20011,51,1,652,663,12,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,,7.18,3.65,0.1549,0.1376,0,-1,-1,vehicle,NNN,0,False
MVI_20012,3,1,31,402,372,True,no_match_before,,,False,0.3844,no_match_before,,,False,0.3844,no_match_before,,,False,0.3844,DETRAC-all,train,train,0.920880195599022,196.41,102.25,0.9761,0.5173,22,65,123,vehicle,NNN,0,False
MVI_20012,12,0,35,41,7,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,,2.45,1.54,0.2041,0.1532,0,-1,-1,vehicle,NNN,0,False
MVI_20012,12,1,52,82,31,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,0.12883435582822078,16.56,14.67,0.3445,0.1886,0,-1,-1,vehicle,NNN,0,False
MVI_20012,14,1,209,326,118,False,preserved,39.0,39.0,True,1.0,preserved,39.0,39.0,True,1.0,preserved,39.0,39.0,True,1.0,DETRAC-all,train,train,0.39304918032786884,106.22,76.25,0.4999,0.2995,0,-1,-1,vehicle,PPP,3,False
MVI_20012,15,0,293,399,107,False,preserved,62.0,62.0,False,0.729,switched,61.0,227.0,False,0.757,switched,61.0,224.0,False,0.757,DETRAC-all,train,train,0.14660033167495867,138.28,120.6,0.6936,0.3787,0,-1,-1,vehicle,PSS,1,True
MVI_20012,16,1,238,241,4,False,preserved,52.0,52.0,True,1.0,preserved,52.0,52.0,True,1.0,preserved,52.0,52.0,True,1.0,DETRAC-all,train,train,,4.04,4.04,0.1297,0.1018,0,-1,-1,background,PPP,3,False
MVI_20012,16,2,247,267,21,False,preserved,52.0,52.0,True,1.0,preserved,52.0,52.0,True,1.0,preserved,52.0,52.0,True,1.0,DETRAC-all,train,train,0.14186248912097477,13.12,11.49,0.1787,0.1241,0,-1,-1,background,PPP,3,False
MVI_20012,17,0,209,221,13,False,preserved,79.0,79.0,True,1.0,preserved,79.0,79.0,True,1.0,preserved,78.0,78.0,True,1.0,DETRAC-all,train,train,0.03304524656837815,20.32,19.67,0.1702,0.1421,0,-1,-1,vehicle,PPP,3,False
MVI_20012,18,1,149,177,29,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,0.6772908366533865,16.84,10.04,0.1985,0.1419,0,-1,-1,vehicle,NNN,0,False
MVI_20012,18,2,187,224,38,False,no_match_before,,,False,0.1579,no_match_before,,,False,0.1579,no_match_before,,,False,0.1579,DETRAC-all,train,train,0.37578124999999996,35.22,25.6,0.2563,0.1898,0,-1,-1,vehicle,NNN,0,False
MVI_20012,25,0,321,331,11,False,switched,183.0,207.0,False,0.0,switched,183.0,207.0,False,0.0,switched,182.0,204.0,False,0.0,DETRAC-all,train,train,0.0193133047210301,9.5,9.32,0.1726,0.1566,0,-1,-1,vehicle,SSS,0,False
MVI_20012,28,1,435,444,10,False,preserved,323.0,323.0,True,1.0,preserved,267.0,267.0,True,1.0,preserved,316.0,316.0,True,1.0,DETRAC-all,train,train,0.2535612535612537,8.8,7.02,0.1416,0.1197,0,-1,-1,vehicle,PPP,3,False
MVI_20012,31,1,486,513,28,False,preserved,326.0,326.0,False,0.8214,preserved,319.0,319.0,False,0.8214,preserved,319.0,319.0,False,0.8214,DETRAC-all,train,train,0.027118644067796405,24.24,23.6,0.2299,0.1812,0,-1,-1,vehicle,PPP,3,False
MVI_20012,41,0,815,842,28,False,lost_after,461.0,,False,0.3214,lost_after,454.0,,False,0.3214,lost_after,450.0,,False,0.3214,DETRAC-all,train,train,1.1253062653132657,60.72,28.57,0.2366,0.1852,0,-1,-1,vehicle,LLL,0,False
MVI_20033,2,0,83,101,19,False,preserved,2.0,2.0,True,1.0,preserved,2.0,2.0,True,1.0,preserved,2.0,2.0,True,1.0,DETRAC-all,train,train,0.023320377568017747,18.43,18.01,0.1937,0.1383,0,-1,-1,vehicle,PPP,3,False
MVI_20033,2,1,105,173,69,False,lost_after,2.0,,False,0.2754,lost_after,2.0,,False,0.2754,lost_after,2.0,,False,0.2754,DETRAC-all,train,train,0.25480225988700567,44.42,35.4,0.3598,0.2529,0,-1,-1,vehicle,LLL,0,False
MVI_20033,5,0,211,233,23,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,,7.76,4.59,0.26,0.2145,0,-1,-1,vehicle,NNN,0,False
MVI_20033,14,0,530,560,31,False,lost_after,139.0,,False,0.0968,lost_after,150.0,,False,0.0968,lost_after,134.0,,False,0.0968,DETRAC-all,train,train,0.08660213958227203,21.33,19.63,0.1929,0.1327,0,-1,-1,vehicle,LLL,0,False
MVI_20034,16,0,325,343,19,False,preserved,118.0,118.0,False,0.6842,preserved,122.0,122.0,False,0.7895,preserved,122.0,122.0,False,0.7895,DETRAC-all,train,train,0.0023148148148146586,12.99,12.96,0.1355,0.1203,0,-1,-1,vehicle,PPP,3,False
MVI_20034,16,1,619,638,20,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,,8.31,3.75,0.4426,0.2678,0,-1,-1,vehicle,NNN,0,False
MVI_20034,22,0,539,568,30,False,preserved,225.0,225.0,True,1.0,preserved,227.0,227.0,True,1.0,preserved,227.0,227.0,True,1.0,DETRAC-all,train,train,0.013565891472868241,20.92,20.64,0.1713,0.1464,0,-1,-1,vehicle,PPP,3,False
MVI_20034,24,1,426,440,15,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,,8.3,4.32,0.1736,0.1565,0,-1,-1,vehicle,NNN,0,False
MVI_20034,30,0,548,741,194,False,switched,194.0,373.0,False,0.5567,switched,196.0,373.0,False,0.5567,switched,196.0,374.0,False,0.5567,DETRAC-all,train,train,0.12257079400333137,161.74,144.08,0.4955,0.3355,0,-1,-1,vehicle,SSS,0,False
MVI_20034,38,0,604,623,20,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,0.09513274336283195,9.9,9.04,0.1581,0.1255,0,-1,-1,vehicle,NNN,0,False
MVI_20034,38,1,640,662,23,False,no_match_before,,,False,0.5217,no_match_before,,,False,0.5217,no_match_before,,,False,0.5217,DETRAC-all,train,train,0.2251131221719458,10.83,8.84,0.2036,0.1529,0,-1,-1,vehicle,NNN,0,False
MVI_20034,38,2,684,687,4,False,preserved,346.0,346.0,True,1.0,preserved,347.0,347.0,True,1.0,preserved,348.0,348.0,True,1.0,DETRAC-all,train,train,,1.7,1.01,0.1165,0.1083,0,-1,-1,vehicle,PPP,3,False
MVI_20034,48,0,238,347,110,True,switched,1.0,116.0,False,0.4,switched,1.0,120.0,False,0.4,switched,1.0,120.0,False,0.4,DETRAC-all,train,train,,11.39,4.57,1.0,0.6383,19,296,314,vehicle,SSS,0,False
MVI_20034,48,1,422,455,34,False,preserved,116.0,116.0,True,1.0,preserved,120.0,120.0,True,1.0,preserved,120.0,120.0,True,1.0,DETRAC-all,train,train,0.0015898251192369983,31.5,31.45,0.1743,0.145,0,-1,-1,vehicle,PPP,3,False
MVI_20034,48,2,646,682,37,False,lost_after,341.0,,False,0.8108,lost_after,342.0,,False,0.8108,lost_after,336.0,,False,0.8108,DETRAC-all,train,train,0.0007833920877398093,25.55,25.53,0.1344,0.115,0,-1,-1,vehicle,LLL,0,False
MVI_20034,50,0,321,340,20,False,switched,63.0,139.0,False,0.7,switched,63.0,141.0,False,0.7,switched,63.0,141.0,False,0.7,DETRAC-all,train,train,0.0,23.11,23.11,0.1385,0.1278,0,-1,-1,vehicle,SSS,0,False
MVI_20035,10,0,360,375,16,False,preserved,102.0,102.0,True,1.0,preserved,104.0,104.0,True,1.0,preserved,101.0,101.0,True,1.0,DETRAC-all,train,train,0.01869158878504673,19.62,19.26,0.1536,0.1261,0,-1,-1,vehicle,PPP,3,False
MVI_20035,12,0,389,449,61,False,preserved,125.0,125.0,False,0.7869,preserved,127.0,127.0,False,0.7869,preserved,124.0,124.0,False,0.7869,DETRAC-all,train,train,0.025321100917431227,55.88,54.5,0.348,0.215,0,-1,-1,vehicle,PPP,3,False
MVI_20035,13,0,436,508,73,False,preserved,151.0,151.0,False,0.589,preserved,155.0,155.0,False,0.6027,preserved,147.0,147.0,False,0.589,DETRAC-all,train,train,0.13064713064713063,55.56,49.14,0.4392,0.2565,0,-1,-1,vehicle,PPP,3,False
MVI_20035,34,0,103,135,33,False,preserved,5.0,5.0,True,1.0,preserved,5.0,5.0,True,1.0,preserved,5.0,5.0,True,1.0,DETRAC-all,train,train,0.003197364596454033,103.54,103.21,0.257,0.1954,0,-1,-1,vehicle,PPP,3,False
MVI_20035,37,0,99,209,111,False,preserved,10.0,10.0,True,1.0,preserved,10.0,10.0,True,1.0,preserved,10.0,10.0,True,1.0,DETRAC-all,train,train,0.010506861973373471,295.26,292.19,0.2277,0.1625,0,-1,-1,vehicle,PPP,3,False
MVI_20035,49,0,251,356,106,False,no_match_before,,,False,0.3396,no_match_before,,,False,0.3396,no_match_before,,,False,0.3396,DETRAC-all,train,train,0.0676552363299352,69.12,64.74,0.2966,0.1984,0,-1,-1,vehicle,NNN,0,False
MVI_20035,54,0,472,500,29,False,preserved,186.0,186.0,True,1.0,preserved,192.0,192.0,True,1.0,preserved,182.0,182.0,True,1.0,DETRAC-all,train,train,0.06830855018587356,22.99,21.52,0.2482,0.1905,0,-1,-1,vehicle,PPP,3,False
MVI_20051,11,0,134,167,34,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,1.715034965034965,15.53,5.72,0.1775,0.1496,0,-1,-1,vehicle,NNN,0,False
MVI_20051,51,0,31,34,4,False,preserved,4.0,4.0,True,1.0,preserved,4.0,4.0,True,1.0,preserved,4.0,4.0,True,1.0,DETRAC-all,train,train,,0.93,0.93,0.1031,0.1019,0,-1,-1,vehicle,PPP,3,False
MVI_20051,51,1,726,762,37,False,preserved,169.0,169.0,False,0.9459,preserved,175.0,175.0,False,0.9459,preserved,176.0,176.0,False,0.9459,DETRAC-all,train,train,,8.29,3.63,0.1394,0.1297,0,-1,-1,vehicle,PPP,3,False
MVI_20051,51,2,786,865,80,False,switched,169.0,542.0,False,0.7125,switched,175.0,549.0,False,0.7125,switched,176.0,549.0,False,0.7125,DETRAC-all,train,train,,18.5,0.69,0.1847,0.1453,0,-1,-1,vehicle,SSS,0,False
MVI_20052,8,0,30,107,78,False,no_match_before,,,False,0.2564,no_match_before,,,False,0.2564,no_match_before,,,False,0.2564,DETRAC-all,train,train,0.40150375939849625,27.96,19.95,0.5161,0.3453,0,-1,-1,vehicle,NNN,0,False
MVI_20052,24,0,191,286,96,False,no_match_before,,,False,0.9271,no_match_before,,,False,0.9271,no_match_before,,,False,0.9271,DETRAC-all,train,train,0.20824361734850827,39.28,32.51,0.223,0.1575,0,-1,-1,vehicle,NNN,0,False
MVI_20052,24,1,295,301,7,False,preserved,168.0,168.0,True,1.0,preserved,173.0,173.0,True,1.0,preserved,176.0,176.0,True,1.0,DETRAC-all,train,train,0.0,5.09,5.09,0.1069,0.1042,0,-1,-1,vehicle,PPP,3,False
MVI_20052,30,0,265,546,282,False,no_match_before,,,False,0.4681,no_match_before,,,False,0.4681,no_match_before,,,False,0.4681,DETRAC-all,train,train,0.3540735334367302,148.42,109.61,0.499,0.3701,0,-1,-1,vehicle,NNN,0,False
MVI_20052,31,0,334,394,61,False,lost_after,216.0,,False,0.8852,lost_after,221.0,,False,0.8852,lost_after,224.0,,False,0.8852,DETRAC-all,train,train,0.011794439764111209,72.06,71.22,0.2022,0.1563,0,-1,-1,vehicle,LLL,0,False
MVI_20052,43,0,128,138,11,False,switched,4.0,31.0,False,1.0,switched,4.0,32.0,False,1.0,switched,4.0,32.0,False,1.0,DETRAC-all,train,train,,5.26,2.27,0.1183,0.1089,0,-1,-1,vehicle,SSS,0,False
MVI_20052,43,1,253,271,19,False,preserved,4.0,4.0,True,1.0,preserved,4.0,4.0,True,1.0,preserved,4.0,4.0,True,1.0,DETRAC-all,train,train,0.26391382405745056,7.04,5.57,0.1635,0.1358,0,-1,-1,vehicle,PPP,3,False
MVI_20052,43,2,280,353,74,False,preserved,4.0,4.0,True,1.0,preserved,4.0,4.0,True,1.0,preserved,4.0,4.0,True,1.0,DETRAC-all,train,train,,17.35,0.96,0.1268,0.113,0,-1,-1,vehicle,PPP,3,False
MVI_20052,43,3,364,403,40,False,preserved,4.0,4.0,True,1.0,preserved,4.0,4.0,True,1.0,preserved,4.0,4.0,True,1.0,DETRAC-all,train,train,,3.84,2.75,0.1321,0.115,0,-1,-1,vehicle,PPP,3,False
MVI_20052,43,4,437,539,103,False,preserved,4.0,4.0,False,0.9417,preserved,4.0,4.0,False,0.9417,preserved,4.0,4.0,False,0.9417,DETRAC-all,train,train,,6.14,2.82,0.2271,0.1598,0,-1,-1,vehicle,PPP,3,False
MVI_20061,7,0,17,267,251,False,switched,19.0,378.0,False,0.3466,switched,20.0,374.0,False,0.3466,switched,20.0,364.0,False,0.3426,DETRAC-all,train,train,0.3537380060546975,263.83,194.89,0.5821,0.3926,0,-1,-1,vehicle,SSS,0,False
MVI_20061,8,0,96,159,64,False,switched,3.0,245.0,False,0.4531,switched,3.0,244.0,False,0.4531,switched,3.0,237.0,False,0.4531,DETRAC-all,train,train,0.42797397769516743,61.46,43.04,0.5349,0.324,0,-1,-1,vehicle,SSS,0,False
MVI_20061,9,0,165,203,39,False,preserved,212.0,212.0,True,1.0,preserved,212.0,212.0,True,1.0,preserved,205.0,205.0,True,1.0,DETRAC-all,train,train,0.3203067932797663,36.15,27.38,0.2866,0.2272,0,-1,-1,vehicle,PPP,3,False
MVI_20061,9,1,210,212,3,False,preserved,212.0,212.0,True,1.0,preserved,212.0,212.0,True,1.0,preserved,205.0,205.0,True,1.0,DETRAC-all,train,train,,1.46,1.22,0.1125,0.1061,0,-1,-1,vehicle,PPP,3,False
MVI_20061,22,0,173,183,11,False,preserved,241.0,241.0,True,1.0,preserved,240.0,240.0,True,1.0,preserved,233.0,233.0,True,1.0,DETRAC-all,train,train,,3.84,3.52,0.1399,0.1336,0,-1,-1,vehicle,PPP,3,False
MVI_20061,49,0,142,153,12,False,switched,142.0,261.0,False,0.0,switched,145.0,261.0,False,0.0,switched,144.0,254.0,False,0.0,DETRAC-all,train,train,0.02496532593619971,14.78,14.42,0.1202,0.1099,0,-1,-1,vehicle,SSS,0,False
MVI_20061,49,1,160,215,56,False,preserved,261.0,261.0,False,0.8571,preserved,261.0,261.0,False,0.8571,preserved,254.0,254.0,False,0.8571,DETRAC-all,train,train,0.07566204287515754,42.65,39.65,0.1365,0.1159,0,-1,-1,vehicle,PPP,3,False
MVI_20061,49,2,219,243,25,False,lost_after,261.0,,False,0.44,lost_after,261.0,,False,0.44,lost_after,254.0,,False,0.44,DETRAC-all,train,train,0.03875315922493683,24.66,23.74,0.1469,0.1208,0,-1,-1,vehicle,LLL,0,False
MVI_20062,25,0,713,795,83,False,lost_after,359.0,,False,0.3494,lost_after,363.0,,False,0.3494,lost_after,358.0,,False,0.3494,DETRAC-all,train,train,0.056820056077849346,128.15,121.26,0.6009,0.3786,0,-1,-1,vehicle,LLL,0,False
MVI_20063,4,0,379,383,5,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,,1.41,1.24,0.1148,0.1083,0,-1,-1,vehicle,NNN,0,False
MVI_20063,7,0,235,351,117,False,switched,65.0,126.0,False,0.4872,switched,67.0,124.0,False,0.4872,switched,64.0,123.0,False,0.4872,DETRAC-all,train,train,0.02625452664252448,238.05,231.96,0.5956,0.4021,0,-1,-1,vehicle,SSS,0,False
MVI_20063,11,0,599,639,41,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,0.19176232275489524,17.65,14.81,0.2696,0.1662,0,-1,-1,vehicle,NNN,0,False
MVI_20063,11,1,660,662,3,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,,0.73,0.35,0.1132,0.1086,0,-1,-1,vehicle,NNN,0,False
MVI_20063,12,1,583,670,88,False,lost_after,241.0,,False,0.0,lost_after,235.0,,False,0.0,lost_after,239.0,,False,0.0,DETRAC-all,train,train,0.8569711538461537,30.9,16.64,0.2405,0.1619,0,-1,-1,vehicle,LLL,0,False
MVI_20063,14,0,480,562,83,False,switched,172.0,221.0,False,0.7711,switched,169.0,214.0,False,0.7711,switched,170.0,218.0,False,0.7711,DETRAC-all,train,train,0.021840733417220815,113.69,111.26,0.3772,0.262,0,-1,-1,vehicle,SSS,0,False
MVI_20063,16,0,699,779,81,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,1.146487294469357,28.72,13.38,0.4104,0.2867,0,-1,-1,vehicle,NNN,0,False
MVI_20063,18,0,581,771,191,False,switched,244.0,390.0,False,0.466,switched,238.0,382.0,False,0.4607,switched,242.0,388.0,False,0.466,DETRAC-all,train,train,0.029849589083579042,265.66,257.96,0.6311,0.4863,0,-1,-1,vehicle,SSS,0,False
MVI_20063,22,0,682,791,110,False,no_match_before,,,False,0.1818,no_match_before,,,False,0.1909,no_match_before,,,False,0.1818,DETRAC-all,train,train,0.25498108448928125,49.76,39.65,0.2943,0.2081,0,-1,-1,vehicle,NNN,0,False
MVI_20063,23,0,738,746,9,False,preserved,315.0,315.0,True,1.0,preserved,309.0,309.0,True,1.0,preserved,313.0,313.0,True,1.0,DETRAC-all,train,train,0.08689655172413802,7.88,7.25,0.1331,0.1189,0,-1,-1,vehicle,PPP,3,False
MVI_20064,7,0,3,10,8,False,preserved,1.0,1.0,True,1.0,preserved,1.0,1.0,True,1.0,preserved,1.0,1.0,True,1.0,DETRAC-all,train,train,0.01858567543064371,22.47,22.06,0.125,0.1195,0,-1,-1,background,PPP,3,False
MVI_20064,7,1,14,23,10,False,preserved,1.0,1.0,True,1.0,preserved,1.0,1.0,True,1.0,preserved,1.0,1.0,True,1.0,DETRAC-all,train,train,0.11784351145038152,23.43,20.96,0.2362,0.1598,0,-1,-1,background,PPP,3,False
MVI_20064,7,2,29,38,10,False,preserved,1.0,1.0,True,1.0,preserved,1.0,1.0,True,1.0,preserved,1.0,1.0,True,1.0,DETRAC-all,train,train,0.01784386617100364,13.69,13.45,0.1426,0.1215,0,-1,-1,background,PPP,3,False
MVI_20064,7,3,184,233,50,False,lost_after,103.0,,False,0.16,lost_after,109.0,,False,0.18,lost_after,109.0,,False,0.18,DETRAC-all,train,train,1.0143454871488347,33.7,16.73,0.3979,0.2606,0,-1,-1,vehicle,LLL,0,False
MVI_20064,11,0,92,127,36,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,0.44226457399103136,25.73,17.84,0.455,0.3148,0,-1,-1,vehicle,NNN,0,False
MVI_20064,16,0,202,239,38,False,lost_after,45.0,,False,0.4474,lost_after,53.0,,False,0.4474,lost_after,53.0,,False,0.4474,DETRAC-all,train,train,0.10326797385620923,25.32,22.95,0.3798,0.2517,0,-1,-1,vehicle,LLL,0,False
MVI_20064,16,1,245,248,4,False,lost_after,45.0,,False,0.0,lost_after,53.0,,False,0.0,lost_after,53.0,,False,0.0,DETRAC-all,train,train,,1.54,0.34,0.1449,0.1234,0,-1,-1,vehicle,LLL,0,False
MVI_20064,18,0,104,112,9,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,0.005272407732864748,34.32,34.14,0.1529,0.1209,0,-1,-1,background,NNN,0,False
MVI_20064,18,1,144,294,151,False,preserved,77.0,77.0,False,0.9868,preserved,85.0,85.0,False,0.9868,preserved,85.0,85.0,False,0.9868,DETRAC-all,train,train,0.08104147880973844,191.82,177.44,0.4451,0.2044,0,-1,-1,background,PPP,3,False
MVI_20064,19,0,117,139,23,False,preserved,82.0,82.0,False,0.8261,preserved,90.0,90.0,False,0.913,preserved,90.0,90.0,False,0.913,DETRAC-all,train,train,0.02600426935765565,52.87,51.53,0.2023,0.1738,0,-1,-1,vehicle,PPP,3,False
MVI_20064,19,1,247,265,19,False,preserved,82.0,82.0,False,0.6842,preserved,90.0,90.0,False,0.6842,preserved,90.0,90.0,False,0.6842,DETRAC-all,train,train,0.002457002457002311,8.16,8.14,0.2128,0.1797,0,-1,-1,vehicle,PPP,3,False
MVI_20064,19,2,284,328,45,False,switched,82.0,238.0,False,0.2444,switched,90.0,244.0,False,0.2444,switched,90.0,243.0,False,0.2444,DETRAC-all,train,train,1.120044052863436,19.25,9.08,0.3583,0.2409,0,-1,-1,vehicle,SSS,0,False
MVI_20064,19,3,407,411,5,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,,1.9,1.02,0.2117,0.1688,0,-1,-1,vehicle,NNN,0,False
MVI_20064,19,4,423,430,8,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,,2.47,2.18,0.189,0.145,0,-1,-1,vehicle,NNN,0,False
MVI_20064,20,0,667,669,3,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,,1.61,1.6,0.1125,0.1071,0,-1,-1,vehicle,NNN,0,False
MVI_20064,20,1,721,749,29,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,1.670572916666667,20.51,7.68,0.1837,0.1414,0,-1,-1,vehicle,NNN,0,False
MVI_20064,22,0,152,170,19,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,0.09438470728793313,9.16,8.37,0.2723,0.1651,0,-1,-1,vehicle,NNN,0,False
MVI_20064,22,1,228,302,75,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,,33.68,1.69,0.3222,0.226,0,-1,-1,vehicle,NNN,0,False
MVI_20064,22,2,310,315,6,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,,0.55,0.41,0.1693,0.1348,0,-1,-1,vehicle,NNN,0,False
MVI_20064,22,3,324,333,10,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,,5.06,4.58,0.1445,0.1347,0,-1,-1,vehicle,NNN,0,False
MVI_20064,24,0,280,341,62,False,preserved,167.0,167.0,False,1.0,preserved,172.0,172.0,False,0.9839,preserved,170.0,170.0,True,1.0,DETRAC-all,train,train,0.016846300153971594,112.27,110.41,0.1938,0.1598,0,-1,-1,vehicle,PPP,3,False
MVI_20064,24,1,345,347,3,False,preserved,167.0,167.0,True,1.0,preserved,172.0,172.0,True,1.0,preserved,170.0,170.0,True,1.0,DETRAC-all,train,train,,1.89,1.89,0.118,0.1102,0,-1,-1,vehicle,PPP,3,False
MVI_20064,24,2,377,466,90,False,lost_after,167.0,,False,0.5333,lost_after,172.0,,False,0.5333,lost_after,170.0,,False,0.5333,DETRAC-all,train,train,0.4513867723255103,47.62,32.81,0.3133,0.2122,0,-1,-1,vehicle,LLL,0,False
MVI_20064,24,3,525,582,58,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,,31.5,4.04,0.3275,0.2493,0,-1,-1,vehicle,NNN,0,False
MVI_20064,24,4,600,602,3,False,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-all,train,train,,0.53,0.46,0.1376,0.1257,0,-1,-1,vehicle,NNN,0,False
